,Time[hr],Zone0_EFT[C],Zone0_ExFT[C],Zone0_CNT[C],Zone1_EFT[C],Zone1_ExFT[C],Zone1_CNT[C],Zone2_EFT[C],Zone2_ExFT[C],Zone2_CNT[C],Zone3_EFT[C],Zone3_ExFT[C],Zone3_CNT[C],Zone4_EFT[C],Zone4_ExFT[C],Zone4_CNT[C],Zone5_EFT[C],Zone5_ExFT[C],Zone5_CNT[C],GHE0_EFT[C],GHE0_MFT[C],GHE0_q_ghe[W/m],GHE0_ExFT[C],GHE0_CNT[C],GHE1_EFT[C],GHE1_MFT[C],GHE1_q_ghe[W/m],GHE1_ExFT[C],GHE1_CNT[C],GHE2_EFT[C],GHE2_MFT[C],GHE2_q_ghe[W/m],GHE2_ExFT[C],GHE2_CNT[C]
27,27.000000,4.754075,1.890862,1.890862,4.754075,0.428617,1.771860,4.754075,1.788338,1.779856,4.754075,0.428617,1.778203,4.754075,1.769616,1.777382,4.754075,0.428617,1.776009,1.776009,3.265042,-10.104286,4.754075,4.754075,1.776009,3.265036,-10.104250,4.754064,4.754071,1.776009,3.265048,-10.104328,4.754087,4.754075
28,28.000000,4.643255,1.760354,1.760354,4.643255,0.323184,1.645440,4.643255,1.681237,1.663561,4.643255,0.323184,1.661977,4.643255,1.662398,1.662018,4.643255,0.323184,1.660735,1.660735,3.151995,-10.757655,4.643255,4.643255,1.660735,3.151989,-10.757615,4.643244,4.643251,1.660735,3.152001,-10.757701,4.643268,4.643255
29,29.000000,4.662236,1.898722,1.898722,4.662236,0.351348,1.762134,4.662236,1.706895,1.733440,4.662236,0.351348,1.731731,4.662236,1.688141,1.727093,4.662236,0.351348,1.723787,1.723787,3.193011,-10.011023,4.662236,4.662236,1.723787,3.193006,-10.010987,4.662225,4.662232,1.723787,3.193018,-10.011064,4.662248,4.662236
30,30.000000,4.640780,2.108947,2.108947,4.640780,0.328818,1.932195,4.640780,1.684628,1.790629,4.640780,0.328818,1.788158,4.640780,1.665837,1.775456,4.640780,0.328818,1.756701,1.756701,3.198741,-9.871821,4.640780,4.640780,1.756701,3.198736,-9.871785,4.640770,4.640777,1.756701,3.198747,-9.871861,4.640792,4.640780
31,31.000000,4.692610,4.302618,4.302618,4.692610,0.381108,3.932984,4.692610,1.736874,2.956928,4.692610,0.381108,2.951994,4.692610,1.718157,2.804419,4.692610,0.381108,2.681037,2.681037,3.686824,-5.921172,4.692610,4.692610,2.681037,3.686820,-5.921153,4.692603,4.692608,2.681037,3.686827,-5.921195,4.692618,4.692610
32,32.000000,4.745705,6.739291,6.739291,4.745705,0.428212,5.713690,4.745705,1.785721,4.143396,4.745705,0.428212,4.127286,4.745705,1.767039,3.828129,4.745705,0.428212,3.630288,3.630288,4.187996,-3.050624,4.745705,4.745705,3.630288,4.187995,-3.050615,4.745702,4.745704,3.630288,4.187998,-3.050634,4.745709,4.745705
33,33.000000,4.787415,7.723533,7.723533,4.787415,0.464134,6.362660,4.787415,2.459961,5.509492,4.787415,0.464134,5.463749,4.787415,1.804648,4.954947,4.787415,0.464134,4.654554,4.654554,4.720985,-0.303287,4.787415,4.787415,4.654554,4.720985,-0.303288,4.787416,4.787416,4.654554,4.720984,-0.303286,4.787415,4.787415
34,34.000000,4.869939,8.526722,8.526722,4.869939,0.540750,6.923773,4.869939,2.243860,6.326355,4.869939,0.540750,6.266510,4.869939,1.883104,5.668683,4.869939,0.540750,5.350416,5.350416,5.110177,1.035255,4.869939,4.869939,5.350416,5.110179,1.035250,4.869942,4.869940,5.350416,5.110176,1.035262,4.869936,4.869939
35,35.000000,4.975431,9.140658,9.140658,4.975431,0.636139,7.267730,4.975431,4.246095,6.891391,4.975431,0.636139,6.829710,4.975431,1.981530,6.188710,4.975431,0.636139,5.893181,5.893181,5.434306,2.085922,4.975431,4.975431,5.893181,5.434308,2.085912,4.975435,4.975432,5.893181,5.434304,2.085933,4.975426,4.975431
36,36.000000,5.054000,9.589965,9.589965,5.054000,0.703339,7.631645,5.054000,6.919326,7.511752,5.054000,0.703339,7.439799,5.054000,2.052017,6.793455,5.054000,0.703339,6.550735,6.550735,5.802368,3.652535,5.054000,5.054000,6.550735,5.802371,3.652519,5.054006,5.054002,6.550735,5.802364,3.652552,5.053993,5.054000
37,37.000000,5.153059,10.033368,10.033368,5.153059,0.792828,8.283390,5.153059,7.480687,8.120475,5.153059,0.792828,8.032489,5.153059,2.144368,7.395985,5.153059,0.792828,7.173914,7.173914,6.163486,5.084500,5.153059,5.153059,7.173914,6.163490,5.084479,5.153067,5.153062,7.173914,6.163482,5.084523,5.153050,5.153059
38,38.000000,5.273124,10.511724,10.511724,5.273124,0.900965,8.535495,5.273124,9.113188,8.638621,5.273124,0.900965,8.552646,5.273124,2.256057,7.916780,5.273124,0.900965,7.710664,7.710664,6.491894,6.231001,5.273124,5.273124,7.710664,6.491899,6.230977,5.273133,5.273127,7.710664,6.491889,6.231029,5.273113,5.273124
39,39.000000,5.372185,10.904211,10.904211,5.372185,0.986846,8.988727,5.372185,9.359817,9.045458,5.372185,0.986846,8.985098,5.372185,2.345747,8.311756,5.372185,0.986846,8.118718,8.118718,6.745452,6.836107,5.372185,5.372185,8.118718,6.745457,6.836081,5.372195,5.372189,8.118718,6.745446,6.836137,5.372173,5.372185
40,40.000000,5.488054,11.211606,11.211606,5.488054,1.090918,9.338548,5.488054,8.840989,9.278194,5.488054,1.090918,9.216310,5.488054,2.453306,8.496305,5.488054,1.090918,8.265299,8.265299,6.876677,6.657093,5.488054,5.488054,8.265299,6.876682,6.657068,5.488065,5.488058,8.265299,6.876671,6.657122,5.488042,5.488054
41,41.000000,5.568676,11.344628,11.344628,5.568676,1.159245,9.642989,5.568676,7.375729,9.379595,5.568676,1.159245,9.294020,5.568676,2.525130,8.564248,5.568676,1.159245,8.280639,8.280639,6.924657,6.159207,5.568676,5.568676,8.280639,6.924662,6.159184,5.568686,5.568679,8.280639,6.924651,6.159233,5.568664,5.568676
42,42.000000,5.596317,11.461996,11.461996,5.596317,1.179110,10.268948,5.596317,6.338452,9.624209,5.596317,1.179110,9.568094,5.596317,2.547126,8.878136,5.596317,1.179110,8.485929,8.485929,7.041123,6.503880,5.596317,5.596317,8.485929,7.041128,6.503856,5.596327,5.596320,8.485929,7.041117,6.503907,5.596305,5.596317
43,43.000000,6.065856,10.587376,10.587376,6.065856,1.633473,9.325757,6.065856,3.053573,8.002797,6.065856,1.633473,7.954375,6.065856,3.006993,7.336346,6.065856,1.633473,6.889042,6.889042,6.477449,1.413437,6.065856,6.065856,6.889042,6.477451,1.413429,6.065861,6.065858,6.889042,6.477446,1.413446,6.065851,6.065856
44,44.000000,5.984463,10.484070,10.484070,5.984463,1.513467,9.228238,5.984463,2.914667,7.712585,5.984463,1.513467,7.678026,5.984463,2.896751,7.062099,5.984463,1.513467,6.662832,6.662832,6.323648,1.200316,5.984463,5.984463,6.662832,6.323650,1.200310,5.984467,5.984465,6.662832,6.323646,1.200323,5.984459,5.984463
45,45.000000,6.451823,8.278274,8.278274,6.451823,1.975229,7.182527,6.451823,3.378893,5.905580,6.451823,1.975229,5.879457,6.451823,3.361535,5.521874,6.451823,1.975229,5.271786,5.271786,5.861804,-1.954540,6.451823,6.451823,5.271786,5.861804,-1.954538,6.451822,6.451822,5.271786,5.861805,-1.954542,6.451824,6.451823
46,46.000000,6.361546,7.642719,7.642719,6.361546,1.846857,6.766294,6.361546,3.260264,5.501094,6.361546,1.846857,5.487372,6.361546,3.242618,5.168799,6.361546,1.846857,4.976755,4.976755,5.669150,-2.263143,6.361546,6.361546,4.976755,5.669149,-2.263139,6.361543,6.361545,4.976755,5.669152,-2.263147,6.361548,6.361546
47,47.000000,6.378645,6.083682,6.083682,6.378645,1.871320,5.469002,6.378645,3.282860,4.296670,6.378645,1.871320,4.291772,6.378645,3.265267,4.174141,6.378645,1.871320,4.086294,4.086294,5.232469,-4.955791,6.378645,6.378645,4.086294,5.232466,-4.955779,6.378639,6.378643,4.086294,5.232472,-4.955806,6.378651,6.378645
48,48.000000,6.184727,5.246881,5.246881,6.184727,1.681160,4.738886,6.184727,3.091288,3.774533,6.184727,1.681160,3.770857,6.184727,3.073476,3.693162,6.184727,1.681160,3.654908,3.654908,4.919818,-6.112390,6.184728,6.184728,3.654908,4.919814,-6.112372,6.184720,6.184725,3.654908,4.919822,-6.112411,6.184736,6.184727
49,49.000000,6.051278,4.698157,4.698157,6.051278,1.568149,4.262119,6.051278,2.972667,3.517463,6.051278,1.568149,3.514093,6.051278,2.954780,3.448976,6.051278,1.568149,3.438045,3.438045,4.744661,-6.323667,6.051278,6.051278,3.438045,4.744657,-6.323648,6.051270,6.051276,3.438045,4.744666,-6.323689,6.051288,6.051278
50,50.000000,5.909905,4.240518,4.240518,5.909905,1.442196,3.858760,5.909905,2.842373,3.252527,5.909905,1.442196,3.249560,5.909905,2.824381,3.203170,5.909905,1.442196,3.197702,3.197702,4.553804,-6.963556,5.909905,5.909905,3.197702,4.553800,-6.963534,5.909897,5.909902,3.197702,4.553809,-6.963582,5.909915,5.909905
51,51.000000,5.823650,3.954958,3.954958,5.823650,1.370568,3.612951,5.823650,2.766714,3.124239,5.823650,1.370568,3.121365,5.823650,2.748683,3.080423,5.823650,1.370568,3.078141,3.078141,4.450895,-6.953200,5.823650,5.823650,3.078141,4.450891,-6.953178,5.823641,5.823647,3.078141,4.450900,-6.953225,5.823660,5.823650
52,52.000000,5.700929,3.657717,3.657717,5.700929,1.258681,3.351288,5.700929,2.651709,2.937996,5.700929,1.258681,2.935379,5.700929,2.633576,2.904186,5.700929,1.258681,2.902115,2.902115,4.301522,-7.532189,5.700929,5.700929,2.902115,4.301518,-7.532165,5.700920,5.700926,2.902115,4.301528,-7.532218,5.700940,5.700929
53,53.000000,5.584079,4.522975,4.522975,5.584079,1.155687,4.094420,5.584079,2.544801,3.201145,5.584079,1.155687,3.197916,5.584079,2.526589,3.127269,5.584079,1.155687,3.121242,3.121242,4.352661,-6.466471,5.584079,5.584079,3.121242,4.352657,-6.466449,5.584071,5.584077,3.121242,4.352665,-6.466495,5.584089,5.584079
