Hours,HPHtgLd_W,HPClgLd_W,Unnamed: 3,Unnamed: 4
753,19001.3,6462.9,,
754,11782,5483.3,,
755,8532,15221.4,,
756,5821.5,28662.5,,
757,5495.9,33614.9,,
758,1200.1,30836.4,,
759,924.3,32377.4,,
760,703,30028.8,,
761,1008.8,16575.5,,
762,4034.2,14916.2,,
763,9569.8,180.2,,
764,11929.1,0,,
765,18907.3,0,,
766,23321.3,0,,
767,57123.7,0,,
768,74438,0,,
769,75745,0,,
770,85864,0,,
771,82901.3,0,,
772,92913.9,0,,
773,88421.9,0,,
774,97581.6,0,,
775,59523.6,0,,
776,46608.1,0,,
777,17786.6,6697.1,,
778,15076.3,6367.1,,
779,10179.3,5544.3,,
780,4105.9,7833.1,,
781,5044.7,10551,,
782,1609.7,11670.9,,
783,1350.8,9679.3,,
784,1759.9,9830.8,,
785,4267.9,12441.2,,
786,10779.5,13920.3,,
787,18522.8,121.5,,
788,21512,0,,
789,27739.8,0,,
790,30510.5,0,,
791,63211.9,0,,
792,79545,0,,
793,80980.8,0,,
794,93537.9,0,,
795,89770.3,0,,
796,98432.9,0,,
797,94777.2,0,,
798,103926.1,0,,
799,62635.5,0,,
800,50523.7,0,,
801,23008.6,5872.8,,
802,15060.5,5454.5,,
803,10437.4,4941.8,,
804,6471.2,7233.1,,
805,5387.3,11241.4,,
806,1690.9,14671.3,,
807,1535.2,10854,,
808,1391.9,11063.7,,
809,1917.4,13720.7,,
810,6199.9,14238.4,,
811,13414.7,133.5,,
812,16669.2,0,,
813,23572.7,0,,
814,26739.3,0,,
815,58003.3,0,,
816,74256.7,0,,
817,78278.6,0,,
818,89211.3,0,,
819,85557.2,0,,
820,96677.9,0,,
821,93947.5,0,,
822,107257.5,0,,
823,66564,0,,
824,56044.2,0,,
825,33342.5,0,,
826,19264.6,0,,
827,16558,11.1,,
828,16345.3,8093.9,,
829,16860.3,15990.1,,
830,13601,17410.1,,
831,15122.2,12095,,
832,16039.1,3984.5,,
833,18404.6,0,,
834,33734.3,0,,
835,76713.4,0,,
836,99488.8,0,,
837,104179.4,0,,
838,121194,0,,
839,122341.9,0,,
840,135309.6,0,,
841,131864.6,0,,
842,145669.6,0,,
843,143786.7,0,,
844,159253.3,0,,
845,157323.5,0,,
846,171958.7,0,,
847,167740.9,0,,
848,173555.2,0,,
849,130405.3,0,,
850,105395.7,0,,
851,87330.8,0,,
852,94140.5,2.4,,
853,85377.8,2420.5,,
854,81652.3,4203.3,,
855,67994,524.1,,
856,70616.2,0,,
857,74456.8,0,,
858,109849.7,0,,
859,116593.9,0,,
860,132903.6,0,,
861,132639,0,,
862,150197.5,0,,
863,147891.8,0,,
864,162632.8,0,,
865,154341.4,0,,
866,166444.7,0,,
867,160458.3,0,,
868,173476,0,,
869,166463.2,0,,
870,178544.2,0,,
871,113737.1,0,,
872,86614,0,,
873,37378.4,3066.6,,
874,22637.4,1940.3,,
875,18465.9,3096.7,,
876,15716.6,15879.6,,
877,16566.8,24347.7,,
878,8870.2,29818.6,,
879,7011.3,25869.6,,
880,6724.3,19508.2,,
881,7627.2,13631.6,,
882,13425.1,13701.7,,
883,23829.7,97,,
884,28068.1,0,,
885,34288,0,,
886,39454.5,0,,
887,89715.7,0,,
888,113306.5,0,,
889,113580,0,,
890,130760.5,0,,
891,130074.8,0,,
892,140061,0,,
893,132452,0,,
894,136829.3,0,,
895,82694.3,0,,
896,65589.6,0,,
897,31539.4,5051.8,,
898,18346.5,4604.5,,
899,12347.5,4306.9,,
900,8684.1,5903.5,,
901,10751.7,9667,,
902,7343.7,10955.5,,
903,7193.3,8765.7,,
904,7744,8776.8,,
905,10735.1,11412.8,,
906,18570.4,13385.1,,
907,26520.3,95.2,,
908,28760.4,0,,
909,34243.1,0,,
910,35727,0,,
911,69582.6,0,,
912,85388.5,0,,
913,83370.5,0,,
914,92483.3,0,,
915,87640,0,,
916,95240.5,0,,
917,89243.6,0,,
918,98435.9,0,,
919,60713.6,0,,
920,45841.4,0,,
921,13159.5,6545.5,,
922,7163.2,6611.4,,
923,3714.7,6048.4,,
924,1949.6,12032.9,,
925,1827.1,21072,,
926,371.6,24373.3,,
927,286.7,12672.3,,
928,254.9,11236.6,,
929,468.5,13769.2,,
930,2484.4,14464.8,,
931,8235.4,147.6,,
932,10475.7,0,,
933,16379.8,0,,
934,18703.9,0,,
935,45802.5,0,,
936,57990.1,0,,
937,57605,0,,
938,63940.8,0,,
939,61402.6,0,,
940,70136.4,0,,
941,67418.7,0,,
942,75548.4,0,,
943,45435.8,0,,
944,32238.4,0,,
945,6868.6,7864.7,,
946,2176.5,11228.3,,
947,616.3,22817.1,,
948,6.8,31538.4,,
949,0,41815.6,,
950,0,38914.3,,
951,0,36165.7,,
952,0,40097.6,,
953,0,40903.9,,
954,0,18155.9,,
955,939.4,253.1,,
956,2108,0,,
957,5898,0,,
958,8514.8,0,,
959,31456,0,,
960,42107.8,0,,
961,45132.1,0,,
962,52073,0,,
963,49927,0,,
964,56316,0,,
965,53138.7,0,,
966,58506.6,0,,
967,32820.4,0,,
968,24083.2,0,,
969,4264.8,7978.9,,
970,996.8,7160.3,,
971,85.7,16803.1,,
972,0,31364.9,,
973,0,36252.2,,
974,0,42223,,
975,0,41257.3,,
976,0,34497,,
977,0,21455.6,,
978,0,18636.9,,
979,200.1,248,,
980,700,0,,
981,3237.3,0,,
982,4976.5,0,,
983,21994.4,0,,
984,28169.4,0,,
985,31205.8,0,,
986,37793.6,0,,
987,37519.9,0,,
988,43606.7,0,,
989,42643.3,0,,
990,49353.6,0,,
991,26094.4,0,,
992,21054.5,0,,
993,11688.7,0,,
994,6943.4,0,,
995,2669.9,0,,
996,794.8,3810.3,,
997,234.9,19820.6,,
998,57.4,20894.1,,
999,616.6,9181,,
1000,1076.8,679.5,,
1001,3242.4,0,,
1002,7875.2,0,,
1003,26517.7,0,,
1004,36415.9,0,,
1005,39008.8,0,,
1006,46790.4,0,,
1007,46823.9,0,,
1008,55408.1,0,,
1009,53721.3,0,,
1010,57713,0,,
1011,52322.2,0,,
1012,57477.5,0,,
1013,54365.6,0,,
1014,60458.5,0,,
1015,56281.7,0,,
1016,61039,0,,
1017,54131.5,0,,
1018,54406.6,0,,
1019,43818.2,0,,
1020,41512.8,0,,
1021,34819.1,0,,
1022,38197.4,0,,
1023,33946.3,0,,
1024,43136.9,0,,
1025,45608.7,0,,
1026,58499.3,0,,
1027,60282.6,0,,
1028,68218.7,0,,
1029,64899.7,0,,
1030,74218.9,0,,
1031,70084.3,0,,
1032,77687.2,0,,
1033,69447.6,0,,
1034,78148.6,0,,
1035,73662.5,0,,
1036,82003.2,0,,
1037,77011.4,0,,
1038,85589.7,0,,
1039,52702.4,0,,
1040,41506.2,0,,
1041,15949.8,3562.1,,
1042,7567.2,2302.1,,
1043,4258.1,2323.7,,
1044,1909.8,4864.3,,
1045,2662.9,7763.3,,
1046,876.6,9377.8,,
1047,815.9,7602.4,,
1048,909.2,7771.8,,
1049,1755.3,10626.2,,
1050,7285,12922.6,,
1051,15055.5,75.2,,
1052,18096.7,0,,
1053,25026.1,0,,
1054,27323.2,0,,
1055,55137.7,0,,
1056,68341.8,0,,
1057,70252,0,,
1058,83235,0,,
1059,81971.7,0,,
1060,93896.6,0,,
1061,91588.6,0,,
1062,101934.3,0,,
1063,62810.8,0,,
1064,50719.7,0,,
1065,20750.2,5626.5,,
1066,10186.8,5543.9,,
1067,7166.8,7277.8,,
1068,5792.5,19310.6,,
1069,7200.8,30285.1,,
1070,3027.9,33055.5,,
1071,2361.2,26368.1,,
1072,2189.1,21484,,
