,Time[hr],Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHE0_EFT[C],GHE0_MFT[C],GHE0_q_ghe[W/m],GHE0_ExFT[C],GHE1_EFT[C],GHE1_MFT[C],GHE1_q_ghe[W/m],GHE1_ExFT[C],GHE2_EFT[C],GHE2_MFT[C],GHE2_q_ghe[W/m],GHE2_ExFT[C]
46,2074.888455,16.078758,19.654346,17.326578,17.324586,16.643915,16.603304,19.501362,17.326578,15.039478,15.151794,17.317367,16.054645,8.732210,14.791924,16.542451,15.548823,6.871322,14.555195
47,2075.475514,16.968670,19.862439,17.870496,18.591941,17.684344,17.651460,19.738965,17.870496,16.018601,16.002026,18.586089,16.895317,14.495181,15.204545,17.602167,16.244673,11.637945,14.887180
48,2078.524486,18.140154,20.910934,18.929153,19.618741,18.737791,18.865538,20.792813,18.929153,16.762667,17.065493,19.613143,17.971859,14.762512,16.330574,18.818336,17.365089,13.071218,15.911841
49,2079.111545,18.064068,20.943577,18.955308,19.672229,18.786190,18.753497,20.820795,18.955308,16.142498,17.089820,19.666409,18.015998,14.281396,16.365587,18.704460,17.332192,11.874558,15.959924
50,2079.492607,17.585178,21.142640,18.877743,18.875712,18.195222,18.154830,20.990559,18.877743,14.770133,16.764928,18.868529,17.606079,8.825455,16.343628,18.094265,17.003365,7.626192,15.912465
51,2160.000000,15.523191,18.305144,16.526068,16.521759,16.032383,15.945337,17.978115,16.526068,4.676563,15.074021,16.506303,15.617704,2.861884,14.729104,15.814982,15.189716,2.013774,14.564450
52,2175.583211,15.927338,18.947243,16.880121,17.165626,16.507702,16.570485,18.657818,16.880121,5.974717,15.102425,17.152339,15.943645,4.062339,14.734951,16.342102,15.453322,2.987130,14.564542
53,2219.396132,16.117638,19.231121,17.032641,17.326894,16.635172,16.699870,18.932640,17.032641,6.198250,15.132642,17.313196,16.041900,4.147272,14.770604,16.580528,15.588620,3.235843,14.596711
54,2219.778980,16.098310,19.003814,16.957027,17.231594,16.590152,16.650528,18.466009,16.957027,5.274668,15.448045,17.218815,16.040071,4.120316,14.861327,16.539173,15.594466,3.302233,14.649760
55,2222.221020,16.055387,18.941323,16.882012,17.154724,16.524267,16.584239,18.407179,16.882012,5.366541,15.356845,17.118407,16.004395,3.919830,14.890382,16.473646,15.577377,3.153667,14.681107
