Zone1_Time,Zone1_q_htg,Zone1_q_clg,Zone2_Time,Zone2_q_htg,Zone2_q_clg,Zone3_Time,Zone3_q_htg,Zone3_q_clg,Zone4_Time,Zone4_q_htg,Zone4_q_clg,Zone5_Time,Zone5_q_htg,Zone5_q_clg,Zone6_Time,Zone6_q_htg,Zone6_q_clg
169096.31724817003,1532.1875079684,130816.54236691463,169096.31724817003,19026.064749186997,0.0,169096.31724817003,3118.717764028064,14422.2286663626,169096.31724817003,879.420755867817,0.0,169096.31724817003,1067.8534301801303,3426.945667654041,169096.31724817003,7681.2592801257515,0.0
169320.0,1532.1875079684,130816.54236691463,169320.0,19026.064749186997,0.0,169320.0,3118.717764028064,14422.2286663626,169320.0,879.420755867817,0.0,169320.0,1067.8534301801303,3426.945667654041,169320.0,7681.2592801257515,0.0
169320.0,976.1926226631948,157317.73074811613,169320.0,33992.9,0.0,169320.0,26630.2,26826.124590732892,169320.0,2313.9,0.0,169320.0,209.03420193171937,9416.152321448933,169320.0,13743.0,0.0
169335.3770787036,976.1926226631948,157317.73074811613,169335.3770787036,33992.9,0.0,169335.3770787036,26630.2,26826.124590732892,169335.3770787036,2313.9,0.0,169335.3770787036,209.03420193171937,9416.152321448933,169335.3770787036,13743.0,0.0
169335.3770787036,976.1926226631948,157317.73074811613,169335.3770787036,33992.9,0.0,169335.3770787036,26630.2,26826.124590732892,169335.3770787036,826.814895826941,0.0,169335.3770787036,209.03420193171937,9416.152321448933,169335.3770787036,13743.0,0.0
169335.39973041578,976.1926226631948,157317.73074811613,169335.39973041578,33992.9,0.0,169335.39973041578,26630.2,26826.124590732892,169335.39973041578,826.814895826941,0.0,169335.39973041578,209.03420193171937,9416.152321448933,169335.39973041578,13743.0,0.0
169335.39973041578,976.1926226631948,157317.73074811613,169335.39973041578,33992.9,0.0,169335.39973041578,632.3550825799072,26826.124590732892,169335.39973041578,826.814895826941,0.0,169335.39973041578,209.03420193171937,9416.152321448933,169335.39973041578,13743.0,0.0
169335.6104180114,976.1926226631948,157317.73074811613,169335.6104180114,33992.9,0.0,169335.6104180114,632.3550825799072,26826.124590732892,169335.6104180114,826.814895826941,0.0,169335.6104180114,209.03420193171937,9416.152321448933,169335.6104180114,13743.0,0.0
169335.6104180114,976.1926226631948,157317.73074811613,169335.6104180114,33992.9,0.0,169335.6104180114,632.3550825799072,26826.124590732892,169335.6104180114,826.814895826941,0.0,169335.6104180114,209.03420193171937,9416.152321448933,169335.6104180114,6881.560459031841,0.0
169336.24102336649,976.1926226631948,157317.73074811613,169336.24102336649,33992.9,0.0,169336.24102336649,632.3550825799072,26826.124590732892,169336.24102336649,826.814895826941,0.0,169336.24102336649,209.03420193171937,9416.152321448933,169336.24102336649,6881.560459031841,0.0
169336.24102336649,976.1926226631948,157317.73074811613,169336.24102336649,17474.238237525435,0.0,169336.24102336649,632.3550825799072,26826.124590732892,169336.24102336649,826.814895826941,0.0,169336.24102336649,209.03420193171937,9416.152321448933,169336.24102336649,6881.560459031841,0.0
169427.0631345915,976.1926226631948,157317.73074811613,169427.0631345915,17474.238237525435,0.0,169427.0631345915,632.3550825799072,26826.124590732892,169427.0631345915,826.814895826941,0.0,169427.0631345915,209.03420193171937,9416.152321448933,169427.0631345915,6881.560459031841,0.0
169427.0631345915,976.1926226631948,157317.73074811613,169427.0631345915,17474.238237525435,0.0,169427.0631345915,632.3550825799072,26826.124590732892,169427.0631345915,826.814895826941,0.0,169427.0631345915,8975.3,9416.152321448933,169427.0631345915,6881.560459031841,0.0
169430.9368654085,976.1926226631948,157317.73074811613,169430.9368654085,17474.238237525435,0.0,169430.9368654085,632.3550825799072,26826.124590732892,169430.9368654085,826.814895826941,0.0,169430.9368654085,8975.3,9416.152321448933,169430.9368654085,6881.560459031841,0.0
169430.9368654085,976.1926226631948,157317.73074811613,169430.9368654085,17474.238237525435,0.0,169430.9368654085,632.3550825799072,26826.124590732892,169430.9368654085,826.814895826941,0.0,169430.9368654085,209.03420193171937,9416.152321448933,169430.9368654085,6881.560459031841,0.0
169569.65850207582,976.1926226631948,157317.73074811613,169569.65850207582,17474.238237525435,0.0,169569.65850207582,632.3550825799072,26826.124590732892,169569.65850207582,826.814895826941,0.0,169569.65850207582,209.03420193171937,9416.152321448933,169569.65850207582,6881.560459031841,0.0
169569.65850207582,976.1926226631948,385368.7,169569.65850207582,17474.238237525435,0.0,169569.65850207582,632.3550825799072,26826.124590732892,169569.65850207582,826.814895826941,0.0,169569.65850207582,209.03420193171937,9416.152321448933,169569.65850207582,6881.560459031841,0.0
169570.5404977084,976.1926226631948,385368.7,169570.5404977084,17474.238237525435,0.0,169570.5404977084,632.3550825799072,26826.124590732892,169570.5404977084,826.814895826941,0.0,169570.5404977084,209.03420193171937,9416.152321448933,169570.5404977084,6881.560459031841,0.0
169570.5404977084,976.1926226631948,385368.7,169570.5404977084,17474.238237525435,0.0,169570.5404977084,632.3550825799072,132687.0,169570.5404977084,826.814895826941,0.0,169570.5404977084,209.03420193171937,9416.152321448933,169570.5404977084,6881.560459031841,0.0
