,Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHE0_EFT[C],GHE0_MFT[C],GHE0_q_ghe[W/m],GHE0_ExFT[C],GHE1_EFT[C],GHE1_MFT[C],GHE1_q_ghe[W/m],GHE1_ExFT[C],GHE2_EFT[C],GHE2_MFT[C],GHE2_q_ghe[W/m],GHE2_ExFT[C]
61,14.777790,17.845483,15.684711,15.871001,15.335918,15.130761,17.437736,15.684711,7.219436,13.931686,15.838919,14.895793,3.884054,13.952666,15.027746,14.492127,2.205828,13.956507
62,14.918348,18.005757,15.810907,16.022309,15.466491,15.288594,17.553497,15.810907,7.473089,14.068317,15.992888,15.005894,4.232719,14.018900,15.200504,14.595884,2.592911,13.991263
63,15.013680,18.209377,15.943254,16.118364,15.557728,15.390472,17.778959,15.943254,7.875141,14.107550,16.098830,15.084263,4.352473,14.069697,15.313279,14.671282,2.754156,14.029285
64,15.089254,18.313923,16.052565,16.224503,15.649321,15.485489,17.911702,16.052565,8.103071,14.193428,16.205885,15.162328,4.548356,14.118771,15.398741,14.735554,2.890507,14.072367
65,15.198844,18.449533,16.183239,16.399718,15.782225,15.633712,18.112759,16.183239,8.564183,14.253719,16.376174,15.262519,4.942960,14.148865,15.534407,14.815344,3.191566,14.096280
66,15.308844,18.640994,16.340990,16.591600,15.932553,15.804134,18.420328,16.340990,9.205244,14.261652,16.576541,15.369064,5.345510,14.161587,15.672743,14.892960,3.452106,14.113176
67,14.752732,17.779142,15.819874,15.744283,15.335679,15.143724,17.477852,15.819874,4.417242,14.161895,15.723572,14.996272,1.937698,14.268972,14.888001,14.598140,0.772258,14.308278
68,14.647036,17.601512,15.691747,15.571026,15.201083,15.003038,17.304123,15.691747,4.349056,14.079371,15.555312,14.891132,1.791488,14.226953,14.762156,14.515471,0.665382,14.268786
69,14.323181,16.507053,15.307390,15.011808,14.833885,14.559418,16.134545,15.307390,1.771640,14.480234,14.990138,14.697164,0.627506,14.404190,14.282042,14.370197,-0.188815,14.458352
70,14.220431,16.281799,15.163420,14.805694,14.688679,14.381180,15.961245,15.163420,1.681104,14.365594,14.792626,14.597725,0.410679,14.402823,14.151032,14.299744,-0.313352,14.448455
71,13.978613,15.332602,14.915641,14.146250,14.284798,13.973691,15.057405,14.915641,0.338384,14.773878,14.137493,14.413690,-0.659269,14.689886,13.796863,14.186327,-0.929635,14.575792
72,13.837374,14.876863,14.731717,13.808652,14.052661,13.701284,14.616330,14.731717,-0.290335,14.847105,13.800529,14.273277,-1.189516,14.746025,13.607561,14.100018,-1.239109,14.592475
73,13.745533,14.598040,14.594930,13.645384,13.928546,13.517396,14.335624,14.594930,-0.647423,14.854235,13.637072,14.183585,-1.364510,14.730097,13.488017,14.039837,-1.377762,14.591657
74,13.631017,14.293887,14.461507,13.422163,13.770512,13.351160,14.043699,14.461507,-1.092798,14.879314,13.414344,14.082158,-1.746704,14.749973,13.334967,13.969359,-1.659286,14.603751
75,13.552559,14.080065,14.354336,13.317866,13.686630,13.241198,13.831457,14.354336,-1.375015,14.877215,13.310071,14.016120,-1.856696,14.722168,13.233926,13.916711,-1.795521,14.599497
76,13.433258,13.790426,14.223892,13.091463,13.523366,13.087282,13.565199,14.223892,-1.910042,14.882585,13.084353,13.907503,-2.386923,14.730653,13.080693,13.836190,-2.190750,14.591688
77,13.451487,14.140164,14.265100,13.220214,13.573489,13.152661,13.932581,14.265100,-1.048379,14.597618,13.213778,13.888235,-2.126456,14.562693,13.139239,13.808342,-2.109573,14.477445
78,13.396446,14.200178,14.267971,13.186350,13.530234,13.146321,14.012940,14.267971,-0.891665,14.523003,13.178613,13.837902,-2.305066,14.497192,13.083343,13.754277,-2.345779,14.425212
