,Zone0_P_htg,Zone0_P_clg,Zone0_P_cp,Zone1_P_htg,Zone1_P_clg,Zone1_P_cp,Zone2_P_htg,Zone2_P_clg,Zone2_P_cp,Zone3_P_htg,Zone3_P_clg,Zone3_P_cp,Zone4_P_htg,Zone4_P_clg,Zone4_P_cp,Zone5_P_htg,Zone5_P_clg,Zone5_P_cp,central_loop_P_cp,GHE0_P_cp,GHE1_P_cp,GHE2_P_cp
6179,0.0,40513.4910874732,3336.547367739729,9387.32085401569,-0.0,403.90044529627806,0.0,5934.006464961128,342.0261736223463,538.3380994839595,-0.0,23.160802916762716,33.257387475246986,585.8229262452188,22.5163918569978,2373.410529867846,-0.0,102.10849961168059,673.294488611442,113.31215357096771,60.4331485711828,52.879004999784925
6180,0.0,42732.31440722069,3510.5017553567227,8123.647502819255,-0.0,349.4769256180349,0.0,7048.131439043312,405.87999569392343,641.8594177233948,-0.0,27.605090856011785,0.0,765.0210554747351,28.049879703608585,2063.5897680583157,-0.0,88.7470303205924,782.9029643548777,125.29827123796987,66.82574466025062,58.47252657771928
6181,0.0,44383.39495259166,3636.6068117003933,9351.337650279622,-0.0,402.16774476157156,0.0,9414.983483451399,540.9691664945229,610.6254770332541,-0.0,26.248939055928222,0.0,851.6229546247044,31.134214471819533,1828.9035874783838,-0.0,78.61447200385108,991.1338549021287,146.6317421919216,78.20359583569152,68.42814635623009
6182,0.0,45529.826638520986,3720.399913845981,8892.900269796637,-0.0,382.42400602881463,0.0,9277.110265567302,532.909084657747,405.06865930446264,-0.0,17.4084902252326,0.0,812.826077548706,29.670721258587065,1599.4137771976978,-0.0,68.73308845091698,1010.5575032440763,148.54127294953093,79.22201223974983,69.3192607097811
6183,0.0,46640.075545315725,3804.349205126004,8420.499506458855,-0.0,362.00585600243033,0.0,9663.911826610567,554.1275874770253,390.7227506672228,-0.0,16.787291927536696,0.0,811.1094414224106,29.55385065290233,1820.869666533887,-0.0,78.22791473310397,1075.400386198005,154.82933415264225,82.5756448814092,72.25368927123304
6184,0.0,45903.049418929,3737.818277439817,7164.173457893105,-0.0,307.9343113275922,0.0,8904.072559622087,509.86779969261454,500.3455612685486,-0.0,21.49211667293713,0.0,793.0496407277246,28.85091307312941,2116.9453454001546,-0.0,90.92651974843237,972.4023947735653,144.778409247592,77.21515159871574,67.56325764887626
6185,0.0,46933.3690375458,3819.8697134632175,4675.407174481122,-0.0,200.93370046393582,0.0,7068.377166618599,404.3079569084744,320.3981795555441,-0.0,13.760839391523406,0.0,749.5973268178263,27.248486847964813,2788.384768545311,-0.0,119.7516874601949,880.0954313230754,135.46474954117068,72.24786642195768,63.21688311921298
6186,0.0,31788.513743231302,2585.920611640347,3841.63314663914,-0.0,165.04221648645373,0.0,2666.664636935913,152.09122675692836,265.7864110146601,-0.0,11.412144284271195,0.0,787.3256710356317,28.564714120789777,3266.9430508402193,-0.0,140.26458558548998,253.687694703169,59.11160098793286,31.52618719356419,27.585413794368677
6187,0.0,30188.23034321365,2473.393836284796,3858.9217091460787,-0.0,165.89449532073496,0.0,1721.3882801435668,98.61319101337166,206.07955607391906,-0.0,8.857731386925556,0.0,710.736460997773,25.963343738687044,3144.0656414825417,-0.0,135.1232627503766,207.27189606107333,51.6614669705614,27.55278238429941,24.108684586261983
6188,0.0,19946.211192838775,1638.6099682113381,3863.71354436549,-0.0,166.1262927456772,0.0,635.0658640803127,36.41872214150506,225.90749539080224,-0.0,9.71304945588289,0.0,661.343972963213,24.2054111518908,2888.0152704111865,-0.0,124.15796419558067,65.92267056193111,24.071120985318846,12.837931192170052,11.233189793148796
6189,0.0,18330.353853074837,1514.0095289743326,3296.532261463804,-0.0,141.8569249811032,0.0,348.8677456878699,20.116057588979366,134.47158734639763,-0.0,5.7882666460600944,0.0,593.6882319766646,21.872021431208836,2380.2729295097956,-0.0,102.44110501854142,48.195126574565485,19.53478058050612,10.418549642936595,9.116230937569522
6190,0.0,14526.5505746464,1202.9130303283684,3222.2774716489703,-0.0,138.68231049889957,0.0,777.5392721488138,44.86271134788671,104.1303719800363,-0.0,4.483122893848858,0.0,456.9887513836828,16.852728376607523,2078.629507567857,-0.0,89.4755925236599,28.072061286223192,13.624565347494698,7.266434851997172,6.358130495497525
6191,0.0,12649.493410289188,1050.2341329921796,3238.6383704513305,-0.0,139.4773401529444,0.0,1076.9782333553637,62.37154818342485,101.38789503998912,-0.0,4.3674135043002265,0.3792761178580738,321.1278947146729,11.886950550958767,1168.365610919026,-0.0,50.32051305678215,19.557782579755145,10.707453489051634,5.710641860827535,4.996811628224096
6192,1.4088404314536227,10588.736241323733,880.8279431730456,3244.8329128652254,-0.0,139.79066445881458,22.34782549777183,402.3142595256724,24.404147374127657,105.29596073310596,-0.0,4.53676527748262,49.39717803484489,211.3885433172577,9.306742372797494,364.90446846888085,-0.0,15.720205158529154,10.164127591236968,6.921281707921647,3.691350244224877,3.2299314636967686
6193,13.272646095523514,10473.330619079075,873.7702015395811,3245.3323120573523,-0.0,139.8109635481083,90.39529478775174,340.0706871337219,24.03178514545466,102.1079695340974,-0.0,4.401282302309961,96.15617439813433,167.37590584661456,9.093752480610393,212.25099928766465,-0.0,9.148151051280003,9.768699806650003,6.740585626223262,3.594979000652406,3.145606625570855
6194,27.09973390655123,9594.03009138131,802.3250394573495,3248.5065750115714,-0.0,139.96449351697126,259.37812801778216,133.45536456563602,20.05238161169634,105.59727440298164,-0.0,4.55255263755764,180.93776364701878,135.78746687576714,10.470909470351884,96.82751682411156,-0.0,4.174279699261388,7.7787664791565145,5.7909117071023095,3.088486243787899,2.702425463314411
6195,49.222953528686425,8722.472221719678,731.9964908539467,3256.883913997055,-0.0,140.35835691890722,312.0723609184718,491.7147984193847,43.41034566731151,102.79231171595258,-0.0,4.433800909775239,306.98232739691144,106.76762183348484,13.190716910643866,97.20379114724139,-0.0,4.192754538507058,7.148084295809681,5.47351397115134,2.9192074512807142,2.554306519870625
6196,79.65497675661804,8377.533220714877,705.9563133837117,3271.3462995012374,-0.0,141.0620666761371,534.3949559838331,1000.6853491503387,83.73781713400514,106.00199958076202,-0.0,4.57399718325687,420.62056753844655,95.53826382971181,16.197692447123362,214.16066246124714,-0.0,9.241669921264924,8.277701666648994,6.035959273096633,3.2191782789848715,2.8167809941117627
6197,105.00403351610987,7907.36424048057,668.835553181538,3286.7259970769433,-0.0,141.8182710808188,817.3914286840642,886.5693090551385,90.67054565938933,134.67352074643557,-0.0,5.813281740624376,436.79058563565326,111.94182396436793,17.307929224195654,1111.5268906067865,-0.0,47.98528769497727,8.616504934180561,6.1995554397988055,3.306429567892696,2.89312587190611
